401 Q0 LA030690-0168   1 14.347982 z22shaikAND
426 Q0 LA072890-0054  25 11.849907 z22shaikAND
426 Q0 LA110289-0058  26 11.840345 z22shaikAND
426 Q0 LA061490-0163  27 11.581104 z22shaikAND
426 Q0 LA031189-0002  28 11.564677 z22shaikAND
426 Q0 LA022689-0068  29 11.549835 z22shaikAND
426 Q0 LA052990-0023  30 11.546044 z22shaikAND
426 Q0 LA042190-0066  31 11.423422 z22shaikAND
426 Q0 LA061589-0177  32 11.279696 z22shaikAND
426 Q0 LA031590-0154  33 11.163885 z22shaikAND
426 Q0 LA012690-0001  34 11.044355 z22shaikAND
426 Q0 LA011190-0201  35 11.031973 z22shaikAND
426 Q0 LA012689-0022  36 11.006742 z22shaikAND
426 Q0 LA021290-0041  37 10.895768 z22shaikAND
426 Q0 LA062390-0121  38 10.882391 z22shaikAND
426 Q0 LA100690-0040  39 10.873473 z22shaikAND
426 Q0 LA122290-0071  40 10.842325 z22shaikAND
426 Q0 LA020590-0050  41 10.754235 z22shaikAND
426 Q0 LA010189-0182  42 10.698152 z22shaikAND
426 Q0 LA040490-0048  43 10.672715 z22shaikAND
426 Q0 LA120990-0137  44 10.624292 z22shaikAND
426 Q0 LA100390-0156  45 10.622297 z22shaikAND
426 Q0 LA063089-0004  46 10.620779 z22shaikAND
426 Q0 LA072190-0041  47 10.568034 z22shaikAND
426 Q0 LA110190-0069  48 10.544048 z22shaikAND
426 Q0 LA122290-0003  49 10.498182 z22shaikAND
426 Q0 LA061689-0065  50 10.438985 z22shaikAND
426 Q0 LA090689-0030  51 10.429979 z22shaikAND
426 Q0 LA061889-0132  52 10.409701 z22shaikAND
426 Q0 LA062189-0010  53 10.387676 z22shaikAND
426 Q0 LA011390-0008  54 10.381932 z22shaikAND
426 Q0 LA011490-0078  55 10.379046 z22shaikAND
426 Q0 LA070390-0022  56 10.367134 z22shaikAND
426 Q0 LA060890-0041  57 10.338328 z22shaikAND
426 Q0 LA080589-0056  58 10.338280 z22shaikAND
426 Q0 LA071890-0120  59 10.329048 z22shaikAND
426 Q0 LA031689-0149  60 10.269554 z22shaikAND
426 Q0 LA112190-0156  61 10.268371 z22shaikAND
426 Q0 LA092989-0043  62 10.242682 z22shaikAND
426 Q0 LA072690-0034  63 10.230384 z22shaikAND
426 Q0 LA080290-0011  64 10.230112 z22shaikAND
426 Q0 LA083090-0221  65 10.196257 z22shaikAND
426 Q0 LA110890-0149  66 10.182738 z22shaikAND
426 Q0 LA080990-0180  67 10.181368 z22shaikAND
426 Q0 LA082290-0104  68 10.132853 z22shaikAND
426 Q0 LA052389-0080  69 10.128368 z22shaikAND
426 Q0 LA110190-0162  70 10.123893 z22shaikAND
426 Q0 LA042089-0067  71 10.120841 z22shaikAND
426 Q0 LA091089-0205  72 10.108186 z22shaikAND
426 Q0 LA092189-0090  73 10.107002 z22shaikAND
426 Q0 LA041289-0027  74 10.106618 z22shaikAND
426 Q0 LA030490-0043  75 10.064315 z22shaikAND
426 Q0 LA091790-0014  76 10.042474 z22shaikAND
426 Q0 LA081789-0087  77 10.035835 z22shaikAND
426 Q0 LA061189-0051  78 10.032250 z22shaikAND
426 Q0 LA112890-0034  79 10.013419 z22shaikAND
426 Q0 LA061390-0051  80 10.007597 z22shaikAND
426 Q0 LA102089-0114  81  9.983039 z22shaikAND
426 Q0 LA060190-0148  82  9.972628 z22shaikAND
426 Q0 LA112189-0099  83  9.963482 z22shaikAND
426 Q0 LA010189-0133  84  9.953256 z22shaikAND
426 Q0 LA012390-0092  85  9.948901 z22shaikAND
426 Q0 LA112990-0149  86  9.945425 z22shaikAND
426 Q0 LA100590-0001  87  9.929223 z22shaikAND
426 Q0 LA091390-0268  88  9.921842 z22shaikAND
426 Q0 LA070890-0069  89  9.895419 z22shaikAND
426 Q0 LA100189-0135  90  9.895127 z22shaikAND
426 Q0 LA111890-0099  91  9.889685 z22shaikAND
426 Q0 LA111989-0227  92  9.883692 z22shaikAND
426 Q0 LA122989-0120  93  9.881844 z22shaikAND
426 Q0 LA011589-0163  94  9.873260 z22shaikAND
426 Q0 LA113089-0007  95  9.871820 z22shaikAND
426 Q0 LA091990-0011  96  9.857315 z22shaikAND
426 Q0 LA061089-0006  97  9.844442 z22shaikAND
426 Q0 LA021090-0008  98  9.842834 z22shaikAND
426 Q0 LA032889-0067  99  9.838497 z22shaikAND
426 Q0 LA012689-0120 100  9.831114 z22shaikAND
427 Q0 LA082089-0008   1 27.668880 z22shaikAND
427 Q0 LA121390-0164   2 16.051652 z22shaikAND
427 Q0 LA031390-0097   3 15.955339 z22shaikAND
427 Q0 LA043089-0098   4 15.669328 z22shaikAND
427 Q0 LA080590-0077   5 13.478424 z22shaikAND
427 Q0 LA061889-0019   6 11.698615 z22shaikAND
427 Q0 LA091189-0070   7 10.341309 z22shaikAND
427 Q0 LA091490-0190   8 10.243421 z22shaikAND
427 Q0 LA012789-0118   9  9.983630 z22shaikAND
427 Q0 LA061890-0044  10  9.970006 z22shaikAND
427 Q0 LA070389-0031  11  9.712035 z22shaikAND
427 Q0 LA071490-0118  12  9.562817 z22shaikAND
427 Q0 LA071589-0005  13  9.317826 z22shaikAND
427 Q0 LA020590-0044  14  9.290724 z22shaikAND
427 Q0 LA110689-0103  15  9.189802 z22shaikAND
427 Q0 LA111990-0055  16  9.165288 z22shaikAND
427 Q0 LA112289-0067  17  9.085104 z22shaikAND
427 Q0 LA021689-0113  18  9.072458 z22shaikAND
427 Q0 LA043089-0106  19  8.882525 z22shaikAND
427 Q0 LA060490-0058  20  8.704347 z22shaikAND
427 Q0 LA092189-0124  21  8.693383 z22shaikAND
427 Q0 LA092790-0122  22  8.337350 z22shaikAND
427 Q0 LA092690-0035  23  8.331841 z22shaikAND
427 Q0 LA060889-0176  24  8.310338 z22shaikAND
427 Q0 LA092489-0069  25  8.219893 z22shaikAND
427 Q0 LA090190-0153  26  8.158423 z22shaikAND
427 Q0 LA110790-0054  27  8.116295 z22shaikAND
427 Q0 LA051789-0102  28  8.074363 z22shaikAND
427 Q0 LA030289-0123  29  8.029436 z22shaikAND
427 Q0 LA061590-0135  30  8.021483 z22shaikAND
427 Q0 LA101990-0024  31  8.014566 z22shaikAND
427 Q0 LA101389-0005  32  7.989079 z22shaikAND
427 Q0 LA112689-0163  33  7.975163 z22shaikAND
427 Q0 LA032489-0068  34  7.966535 z22shaikAND
427 Q0 LA042290-0051  35  7.957234 z22shaikAND
427 Q0 LA102889-0055  36  7.939386 z22shaikAND
427 Q0 LA120989-0091  37  7.939386 z22shaikAND
427 Q0 LA120789-0136  38  7.816657 z22shaikAND
427 Q0 LA070590-0080  39  7.761429 z22shaikAND
427 Q0 LA102490-0132  40  7.724322 z22shaikAND
427 Q0 LA050689-0095  41  7.689942 z22shaikAND
427 Q0 LA091489-0075  42  7.631281 z22shaikAND
427 Q0 LA112390-0084  43  7.590480 z22shaikAND
427 Q0 LA072689-0060  44  7.574128 z22shaikAND
427 Q0 LA070990-0119  45  7.505653 z22shaikAND
427 Q0 LA040590-0031  46  7.500169 z22shaikAND
427 Q0 LA041090-0062  47  7.402866 z22shaikAND
427 Q0 LA052590-0118  48  7.258195 z22shaikAND
427 Q0 LA041889-0142  49  7.226216 z22shaikAND
427 Q0 LA122590-0003  50  7.200831 z22shaikAND
427 Q0 LA041489-0041  51  7.196811 z22shaikAND
427 Q0 LA010490-0128  52  7.150818 z22shaikAND
427 Q0 LA061389-0026  53  7.083367 z22shaikAND
427 Q0 LA101990-0120  54  7.031434 z22shaikAND
427 Q0 LA092890-0108  55  7.025421 z22shaikAND
427 Q0 LA122489-0150  56  7.016951 z22shaikAND
427 Q0 LA122790-0089  57  6.966926 z22shaikAND
427 Q0 LA031990-0054  58  6.950079 z22shaikAND
427 Q0 LA052389-0135  59  6.949557 z22shaikAND
427 Q0 LA092089-0139  60  6.948590 z22shaikAND
427 Q0 LA030390-0001  61  6.925005 z22shaikAND
427 Q0 LA082889-0040  62  6.858559 z22shaikAND
427 Q0 LA102289-0094  63  6.847420 z22shaikAND
427 Q0 LA122890-0050  64  6.814748 z22shaikAND
427 Q0 LA050689-0125  65  6.809184 z22shaikAND
427 Q0 LA061789-0134  66  6.806622 z22shaikAND
427 Q0 LA101589-0111  67  6.798065 z22shaikAND
427 Q0 LA031989-0027  68  6.770113 z22shaikAND
427 Q0 LA110389-0003  69  6.768309 z22shaikAND
427 Q0 LA080689-0057  70  6.750745 z22shaikAND
427 Q0 LA012489-0059  71  6.737372 z22shaikAND
427 Q0 LA041289-0116  72  6.735694 z22shaikAND
427 Q0 LA053090-0080  73  6.725538 z22shaikAND
427 Q0 LA120189-0128  74  6.702828 z22shaikAND
427 Q0 LA091689-0143  75  6.674369 z22shaikAND
427 Q0 LA070190-0208  76  6.670804 z22shaikAND
427 Q0 LA072790-0067  77  6.568745 z22shaikAND
427 Q0 LA102389-0067  78  6.558234 z22shaikAND
427 Q0 LA081590-0093  79  6.557257 z22shaikAND
427 Q0 LA020589-0060  80  6.540631 z22shaikAND
427 Q0 LA082490-0175  81  6.514675 z22shaikAND
427 Q0 LA090690-0024  82  6.458948 z22shaikAND
427 Q0 LA102490-0056  83  6.444587 z22shaikAND
427 Q0 LA100590-0063  84  6.416422 z22shaikAND
427 Q0 LA030989-0181  85  6.368168 z22shaikAND
427 Q0 LA103190-0113  86  6.339654 z22shaikAND
427 Q0 LA122890-0087  87  6.322667 z22shaikAND
427 Q0 LA090290-0179  88  6.317025 z22shaikAND
427 Q0 LA083090-0067  89  6.266698 z22shaikAND
427 Q0 LA012690-0063  90  6.261155 z22shaikAND
427 Q0 LA071489-0119  91  6.233589 z22shaikAND
427 Q0 LA112389-0154  92  6.195402 z22shaikAND
427 Q0 LA052690-0028  93  6.157680 z22shaikAND
427 Q0 LA091789-0054  94  6.109552 z22shaikAND
427 Q0 LA030390-0088  95  6.093989 z22shaikAND
427 Q0 LA100889-0165  96  6.080210 z22shaikAND
427 Q0 LA080990-0105  97  6.062757 z22shaikAND
427 Q0 LA010490-0037  98  6.045406 z22shaikAND
427 Q0 LA070489-0103  99  6.042059 z22shaikAND
427 Q0 LA102089-0165 100  6.042059 z22shaikAND
428 Q0 LA083090-0246   1 16.786970 z22shaikAND
428 Q0 LA030990-0060   2 16.326159 z22shaikAND
428 Q0 LA043089-0062   3 15.022640 z22shaikAND
428 Q0 LA070390-0073   4 14.613134 z22shaikAND
428 Q0 LA110689-0045   5 14.076230 z22shaikAND
428 Q0 LA030190-0110   6 13.915314 z22shaikAND
428 Q0 LA100289-0036   7 13.390090 z22shaikAND
428 Q0 LA100790-0049   8 13.347284 z22shaikAND
428 Q0 LA060289-0092   9 13.185168 z22shaikAND
428 Q0 LA021190-0122  10 12.977997 z22shaikAND
428 Q0 LA101389-0149  11 12.845906 z22shaikAND
428 Q0 LA021190-0124  12 12.490999 z22shaikAND
428 Q0 LA062189-0133  13 12.472961 z22shaikAND
428 Q0 LA020589-0045  14 12.195048 z22shaikAND
428 Q0 LA020189-0053  15 12.144536 z22shaikAND
428 Q0 LA092889-0213  16 12.040090 z22shaikAND
428 Q0 LA072789-0079  17 12.023027 z22shaikAND
428 Q0 LA010790-0073  18 12.018352 z22shaikAND
428 Q0 LA020390-0106  19 12.006876 z22shaikAND
428 Q0 LA011389-0149  20 12.006761 z22shaikAND
428 Q0 LA021089-0136  21 11.999383 z22shaikAND
428 Q0 LA011990-0165  22 11.779486 z22shaikAND
428 Q0 LA090990-0087  23 11.764582 z22shaikAND
428 Q0 LA010889-0121  24 11.751215 z22shaikAND
428 Q0 LA010790-0036  25 11.605792 z22shaikAND
428 Q0 LA051190-0178  26 11.588422 z22shaikAND
428 Q0 LA033190-0130  27 11.431085 z22shaikAND
428 Q0 LA021089-0151  28 11.303134 z22shaikAND
428 Q0 LA120190-0116  29 11.223181 z22shaikAND
428 Q0 LA010490-0215  30 11.179979 z22shaikAND
428 Q0 LA040889-0136  31 11.132465 z22shaikAND
428 Q0 LA092790-0259  32 10.964951 z22shaikAND
428 Q0 LA111789-0013  33 10.906181 z22shaikAND
428 Q0 LA071190-0119  34 10.840545 z22shaikAND
428 Q0 LA061990-0091  35 10.798916 z22shaikAND
428 Q0 LA030190-0162  36 10.777844 z22shaikAND
428 Q0 LA102490-0002  37 10.767601 z22shaikAND
428 Q0 LA111489-0030  38 10.623986 z22shaikAND
428 Q0 LA052389-0081  39 10.617657 z22shaikAND
428 Q0 LA010790-0132  40 10.523006 z22shaikAND
428 Q0 LA022389-0226  41 10.462437 z22shaikAND
428 Q0 LA090990-0090  42 10.461173 z22shaikAND
428 Q0 LA111089-0084  43 10.437004 z22shaikAND
428 Q0 LA081989-0053  44 10.221671 z22shaikAND
428 Q0 LA120789-0015  45 10.205971 z22shaikAND
428 Q0 LA110689-0057  46 10.165846 z22shaikAND
428 Q0 LA100189-0049  47 10.131212 z22shaikAND
428 Q0 LA031190-0206  48 10.116141 z22shaikAND
428 Q0 LA060689-0129  49 10.103901 z22shaikAND
428 Q0 LA090789-0039  50 10.103158 z22shaikAND
428 Q0 LA123189-0126  51 10.089269 z22shaikAND
428 Q0 LA010689-0131  52 10.082410 z22shaikAND
428 Q0 LA122090-0184  53 10.048039 z22shaikAND
428 Q0 LA010489-0023  54 10.044073 z22shaikAND
428 Q0 LA042389-0088  55  9.993771 z22shaikAND
428 Q0 LA042090-0130  56  9.970270 z22shaikAND
428 Q0 LA100889-0073  57  9.878058 z22shaikAND
428 Q0 LA122790-0074  58  9.846510 z22shaikAND
428 Q0 LA060489-0113  59  9.822658 z22shaikAND
428 Q0 LA021190-0104  60  9.812129 z22shaikAND
428 Q0 LA111890-0235  61  9.809894 z22shaikAND
428 Q0 LA122290-0110  62  9.778309 z22shaikAND
428 Q0 LA061689-0158  63  9.771164 z22shaikAND
428 Q0 LA082289-0162  64  9.751504 z22shaikAND
428 Q0 LA051190-0078  65  9.747229 z22shaikAND
428 Q0 LA030190-0238  66  9.720382 z22shaikAND
428 Q0 LA080790-0131  67  9.719051 z22shaikAND
428 Q0 LA011890-0235  68  9.689695 z22shaikAND
428 Q0 LA101989-0176  69  9.666939 z22shaikAND
428 Q0 LA082390-0222  70  9.665431 z22shaikAND
428 Q0 LA112090-0167  71  9.651703 z22shaikAND
428 Q0 LA030689-0044  72  9.641314 z22shaikAND
428 Q0 LA051589-0038  73  9.606533 z22shaikAND
428 Q0 LA100389-0142  74  9.605602 z22shaikAND
428 Q0 LA032789-0103  75  9.548628 z22shaikAND
428 Q0 LA060589-0105  76  9.543006 z22shaikAND
428 Q0 LA061789-0138  77  9.541230 z22shaikAND
428 Q0 LA010989-0098  78  9.506213 z22shaikAND
428 Q0 LA080289-0101  79  9.502957 z22shaikAND
428 Q0 LA122690-0103  80  9.487588 z22shaikAND
428 Q0 LA030989-0098  81  9.475965 z22shaikAND
428 Q0 LA041290-0187  82  9.473172 z22shaikAND
428 Q0 LA122090-0249  83  9.466012 z22shaikAND
428 Q0 LA041790-0129  84  9.460900 z22shaikAND
428 Q0 LA102690-0058  85  9.439345 z22shaikAND
428 Q0 LA052689-0122  86  9.426261 z22shaikAND
428 Q0 LA091689-0018  87  9.410896 z22shaikAND
428 Q0 LA082889-0076  88  9.401329 z22shaikAND
428 Q0 LA091490-0106  89  9.386718 z22shaikAND
428 Q0 LA030389-0089  90  9.369362 z22shaikAND
428 Q0 LA091490-0145  91  9.360447 z22shaikAND
428 Q0 LA072890-0061  92  9.359844 z22shaikAND
428 Q0 LA100390-0066  93  9.341033 z22shaikAND
428 Q0 LA080189-0146  94  9.328410 z22shaikAND
428 Q0 LA091190-0170  95  9.306399 z22shaikAND
428 Q0 LA052189-0074  96  9.281512 z22shaikAND
428 Q0 LA040489-0036  97  9.265672 z22shaikAND
428 Q0 LA121689-0114  98  9.265178 z22shaikAND
428 Q0 LA122990-0099  99  9.263297 z22shaikAND
428 Q0 LA060989-0189 100  9.236995 z22shaikAND
429 Q0 LA110389-0072   1 23.464049 z22shaikAND
429 Q0 LA010590-0062   2 23.133502 z22shaikAND
429 Q0 LA052190-0047   3 23.032522 z22shaikAND
429 Q0 LA062090-0050   4 20.849098 z22shaikAND
429 Q0 LA042990-0020   5 17.189842 z22shaikAND
429 Q0 LA091690-0018   6 15.154639 z22shaikAND
429 Q0 LA110189-0092   7 12.540686 z22shaikAND
429 Q0 LA050990-0159   8 11.797798 z22shaikAND
429 Q0 LA052190-0106   9 11.373965 z22shaikAND
429 Q0 LA110189-0069  10 11.026358 z22shaikAND
429 Q0 LA030789-0075  11 10.863294 z22shaikAND
429 Q0 LA103090-0087  12 10.144000 z22shaikAND
429 Q0 LA041990-0176  13  9.852739 z22shaikAND
429 Q0 LA071489-0151  14  9.708859 z22shaikAND
429 Q0 LA041289-0054  15  8.019053 z22shaikAND
429 Q0 LA101090-0147  16  7.981011 z22shaikAND
429 Q0 LA113089-0213  17  7.942568 z22shaikAND
429 Q0 LA092690-0153  18  7.910694 z22shaikAND
429 Q0 LA072390-0003  19  7.897335 z22shaikAND
429 Q0 LA091390-0213  20  7.882571 z22shaikAND
429 Q0 LA071689-0215  21  7.878942 z22shaikAND
429 Q0 LA062490-0174  22  7.852608 z22shaikAND
429 Q0 LA101989-0210  23  7.832184 z22shaikAND
429 Q0 LA113090-0156  24  7.826121 z22shaikAND
429 Q0 LA051190-0179  25  7.825053 z22shaikAND
429 Q0 LA032089-0015  26  7.808920 z22shaikAND
429 Q0 LA020789-0010  27  7.800009 z22shaikAND
429 Q0 LA042290-0104  28  7.788387 z22shaikAND
429 Q0 LA112690-0027  29  7.778706 z22shaikAND
429 Q0 LA092090-0248  30  7.768053 z22shaikAND
429 Q0 LA041189-0132  31  7.762805 z22shaikAND
429 Q0 LA031089-0169  32  7.730181 z22shaikAND
429 Q0 LA060589-0049  33  7.720018 z22shaikAND
429 Q0 LA110389-0097  34  7.718914 z22shaikAND
429 Q0 LA102989-0126  35  7.694539 z22shaikAND
429 Q0 LA062290-0024  36  7.682633 z22shaikAND
429 Q0 LA073090-0058  37  7.680015 z22shaikAND
429 Q0 LA072590-0057  38  7.669468 z22shaikAND
429 Q0 LA120690-0155  39  7.661474 z22shaikAND
429 Q0 LA072690-0122  40  7.659377 z22shaikAND
429 Q0 LA033089-0019  41  7.645324 z22shaikAND
429 Q0 LA010989-0047  42  7.643944 z22shaikAND
429 Q0 LA090990-0162  43  7.641098 z22shaikAND
429 Q0 LA100889-0146  44  7.630567 z22shaikAND
429 Q0 LA060490-0083  45  7.629792 z22shaikAND
429 Q0 LA040989-0094  46  7.610824 z22shaikAND
429 Q0 LA092689-0080  47  7.608917 z22shaikAND
429 Q0 LA100189-0047  48  7.604158 z22shaikAND
429 Q0 LA110989-0214  49  7.586839 z22shaikAND
429 Q0 LA092689-0119  50  7.582465 z22shaikAND
429 Q0 LA011590-0134  51  7.556949 z22shaikAND
429 Q0 LA051690-0132  52  7.556242 z22shaikAND
429 Q0 LA060890-0027  53  7.553073 z22shaikAND
429 Q0 LA122290-0138  54  7.542810 z22shaikAND
429 Q0 LA012490-0108  55  7.535536 z22shaikAND
429 Q0 LA020590-0053  56  7.533083 z22shaikAND
429 Q0 LA071989-0117  57  7.515125 z22shaikAND
429 Q0 LA081990-0088  58  7.514976 z22shaikAND
429 Q0 LA041789-0063  59  7.513866 z22shaikAND
429 Q0 LA082390-0094  60  7.500680 z22shaikAND
429 Q0 LA020689-0061  61  7.498376 z22shaikAND
429 Q0 LA030490-0121  62  7.493873 z22shaikAND
429 Q0 LA091489-0204  63  7.489175 z22shaikAND
429 Q0 LA030390-0089  64  7.484566 z22shaikAND
429 Q0 LA080589-0052  65  7.461880 z22shaikAND
429 Q0 LA011789-0073  66  7.459484 z22shaikAND
429 Q0 LA110590-0024  67  7.453645 z22shaikAND
429 Q0 LA111190-0161  68  7.450706 z22shaikAND
429 Q0 LA111390-0102  69  7.445640 z22shaikAND
429 Q0 LA112390-0084  70  7.444901 z22shaikAND
429 Q0 LA073090-0057  71  7.442284 z22shaikAND
429 Q0 LA080790-0061  72  7.436472 z22shaikAND
429 Q0 LA080489-0045  73  7.424118 z22shaikAND
429 Q0 LA040389-0015  74  7.420878 z22shaikAND
429 Q0 LA041690-0042  75  7.420451 z22shaikAND
429 Q0 LA081989-0064  76  7.408406 z22shaikAND
429 Q0 LA120690-0203  77  7.405597 z22shaikAND
429 Q0 LA120490-0022  78  7.394544 z22shaikAND
429 Q0 LA090990-0031  79  7.386772 z22shaikAND
429 Q0 LA042289-0001  80  7.384658 z22shaikAND
429 Q0 LA082689-0127  81  7.378435 z22shaikAND
429 Q0 LA080290-0073  82  7.371164 z22shaikAND
429 Q0 LA110389-0010  83  7.367559 z22shaikAND
429 Q0 LA011590-0097  84  7.355393 z22shaikAND
429 Q0 LA080190-0001  85  7.351771 z22shaikAND
429 Q0 LA120689-0090  86  7.343268 z22shaikAND
429 Q0 LA011490-0119  87  7.336053 z22shaikAND
429 Q0 LA022789-0085  88  7.333298 z22shaikAND
429 Q0 LA081889-0083  89  7.332240 z22shaikAND
429 Q0 LA012090-0059  90  7.326502 z22shaikAND
429 Q0 LA102990-0098  91  7.326314 z22shaikAND
429 Q0 LA082490-0065  92  7.324907 z22shaikAND
429 Q0 LA110689-0060  93  7.324284 z22shaikAND
429 Q0 LA100889-0136  94  7.318795 z22shaikAND
429 Q0 LA101289-0111  95  7.309310 z22shaikAND
429 Q0 LA061790-0071  96  7.289294 z22shaikAND
429 Q0 LA012090-0007  97  7.283081 z22shaikAND
429 Q0 LA062689-0027  98  7.273216 z22shaikAND
429 Q0 LA121189-0042  99  7.270370 z22shaikAND
429 Q0 LA110290-0100 100  7.255859 z22shaikAND
430 Q0 LA031389-0095   1 25.099687 z22shaikAND
430 Q0 LA080389-0111   2 23.905824 z22shaikAND
430 Q0 LA061589-0055   3 23.029478 z22shaikAND
430 Q0 LA073089-0143   4 22.671275 z22shaikAND
430 Q0 LA082889-0051   5 21.458161 z22shaikAND
430 Q0 LA061689-0067   6 19.974435 z22shaikAND
430 Q0 LA020590-0004   7 18.989234 z22shaikAND
430 Q0 LA051089-0024   8 18.033065 z22shaikAND
430 Q0 LA060890-0001   9 17.645136 z22shaikAND
430 Q0 LA051089-0041  10 17.225677 z22shaikAND
430 Q0 LA060190-0066  11 16.355628 z22shaikAND
430 Q0 LA061789-0067  12 15.626120 z22shaikAND
430 Q0 LA121690-0053  13 15.237786 z22shaikAND
430 Q0 LA030890-0239  14 13.867739 z22shaikAND
430 Q0 LA060989-0167  15 13.562905 z22shaikAND
430 Q0 LA051790-0194  16 13.313513 z22shaikAND
430 Q0 LA121190-0029  17 12.970103 z22shaikAND
430 Q0 LA120289-0040  18 12.885811 z22shaikAND
430 Q0 LA080290-0238  19 12.671371 z22shaikAND
430 Q0 LA070189-0121  20 12.580413 z22shaikAND
430 Q0 LA041789-0057  21 12.548017 z22shaikAND
430 Q0 LA070190-0080  22 12.112397 z22shaikAND
430 Q0 LA082589-0113  23 12.099696 z22shaikAND
430 Q0 LA020990-0185  24 11.880772 z22shaikAND
430 Q0 LA041590-0095  25 11.836551 z22shaikAND
430 Q0 LA030990-0162  26 11.789352 z22shaikAND
430 Q0 LA041889-0111  27 11.766257 z22shaikAND
430 Q0 LA011190-0210  28 11.696436 z22shaikAND
430 Q0 LA081890-0061  29 11.691216 z22shaikAND
430 Q0 LA051589-0090  30 11.663675 z22shaikAND
430 Q0 LA081989-0031  31 11.644687 z22shaikAND
430 Q0 LA032190-0031  32 11.635869 z22shaikAND
430 Q0 LA112990-0198  33 11.627078 z22shaikAND
430 Q0 LA081690-0149  34 11.607012 z22shaikAND
430 Q0 LA092489-0065  35 11.483725 z22shaikAND
430 Q0 LA083090-0217  36 11.478849 z22shaikAND
430 Q0 LA010990-0044  37 11.477590 z22shaikAND
430 Q0 LA083089-0093  38 11.452099 z22shaikAND
430 Q0 LA120690-0093  39 11.423023 z22shaikAND
430 Q0 LA030989-0090  40 11.404991 z22shaikAND
430 Q0 LA020689-0057  41 11.351244 z22shaikAND
430 Q0 LA081690-0246  42 11.321394 z22shaikAND
430 Q0 LA052490-0239  43 11.310962 z22shaikAND
430 Q0 LA081689-0146  44 11.251756 z22shaikAND
430 Q0 LA091089-0005  45 11.243473 z22shaikAND
430 Q0 LA031589-0133  46 11.217257 z22shaikAND
430 Q0 LA080290-0167  47 11.197909 z22shaikAND
430 Q0 LA040789-0043  48 11.175110 z22shaikAND
430 Q0 LA052389-0061  49 11.154632 z22shaikAND
430 Q0 LA062390-0104  50 11.150090 z22shaikAND
430 Q0 LA070789-0136  51 11.104963 z22shaikAND
430 Q0 LA011090-0115  52 11.065558 z22shaikAND
430 Q0 LA041890-0115  53 11.046375 z22shaikAND
430 Q0 LA101989-0093  54 11.032972 z22shaikAND
430 Q0 LA082390-0233  55 10.944010 z22shaikAND
430 Q0 LA040590-0090  56 10.879307 z22shaikAND
430 Q0 LA112289-0042  57 10.868987 z22shaikAND
430 Q0 LA121590-0129  58 10.777922 z22shaikAND
430 Q0 LA092190-0052  59 10.764046 z22shaikAND
430 Q0 LA032290-0127  60 10.758922 z22shaikAND
430 Q0 LA102689-0093  61 10.751420 z22shaikAND
430 Q0 LA042690-0035  62 10.711670 z22shaikAND
430 Q0 LA062089-0106  63 10.690945 z22shaikAND
430 Q0 LA081090-0182  64 10.664832 z22shaikAND
430 Q0 LA042389-0115  65 10.634425 z22shaikAND
430 Q0 LA061089-0059  66 10.591177 z22shaikAND
430 Q0 LA091589-0052  67 10.590617 z22shaikAND
430 Q0 LA060889-0082  68 10.558873 z22shaikAND
430 Q0 LA031889-0003  69 10.497109 z22shaikAND
430 Q0 LA022289-0008  70 10.479386 z22shaikAND
430 Q0 LA120789-0226  71 10.446486 z22shaikAND
430 Q0 LA112990-0228  72 10.435414 z22shaikAND
430 Q0 LA100789-0102  73 10.427832 z22shaikAND
430 Q0 LA082389-0050  74 10.405082 z22shaikAND
430 Q0 LA070589-0025  75 10.398930 z22shaikAND
430 Q0 LA060490-0028  76 10.333479 z22shaikAND
430 Q0 LA030389-0169  77 10.326745 z22shaikAND
430 Q0 LA110790-0050  78 10.289884 z22shaikAND
430 Q0 LA040590-0104  79 10.278207 z22shaikAND
430 Q0 LA052090-0011  80 10.249412 z22shaikAND
430 Q0 LA011789-0073  81 10.245640 z22shaikAND
430 Q0 LA030289-0185  82 10.230041 z22shaikAND
430 Q0 LA043089-0083  83 10.218581 z22shaikAND
430 Q0 LA010890-0119  84 10.189576 z22shaikAND
430 Q0 LA041489-0052  85 10.179487 z22shaikAND
430 Q0 LA122089-0064  86 10.169781 z22shaikAND
430 Q0 LA112090-0072  87 10.129567 z22shaikAND
430 Q0 LA120789-0025  88 10.084607 z22shaikAND
430 Q0 LA050489-0064  89 10.073642 z22shaikAND
430 Q0 LA031790-0026  90 10.022096 z22shaikAND
430 Q0 LA032690-0008  91  9.980114 z22shaikAND
430 Q0 LA102789-0182  92  9.970830 z22shaikAND
430 Q0 LA091289-0127  93  9.944004 z22shaikAND
430 Q0 LA012289-0107  94  9.926189 z22shaikAND
430 Q0 LA041989-0063  95  9.924538 z22shaikAND
430 Q0 LA090189-0052  96  9.920875 z22shaikAND
430 Q0 LA042990-0219  97  9.916393 z22shaikAND
430 Q0 LA030989-0131  98  9.890531 z22shaikAND
430 Q0 LA030989-0082  99  9.887189 z22shaikAND
430 Q0 LA091390-0058 100  9.826712 z22shaikAND
431 Q0 LA030589-0277   1 18.326037 z22shaikAND
431 Q0 LA103190-0122   2 18.088732 z22shaikAND
431 Q0 LA092689-0132   3 17.531452 z22shaikAND
431 Q0 LA020690-0057   4 14.990756 z22shaikAND
431 Q0 LA102989-0052   5 14.711543 z22shaikAND
